dot_number,legal_name,mailing_state,mailing_city,power_units,inspection_date,report_state,oos_count
4192755,ALL IN LOGISTICS LLC,TN,CLEVELAND,8,"March 24, 2026",TN,4
3450366,LAND MANAGEMENT UNLIMITED LLC,NJ,NEWTON,6,"March 24, 2026",NJ,1
4320364,CMGC TRANSPORTATION LLC,NJ,VINELAND,5,"March 24, 2026",NJ,1
3173494,HOLDSWORTH GRADING COMPANY LLC,MO,SMITHVILLE,2,"March 24, 2026",MO,4
4412305,BARLOS CARGO INC,OH,SUNBURY,3,"March 24, 2026",OH,1
2565288,PURPOSE TRANSPORT LLC,TN,LOUDON,23,"March 24, 2026",TN,1
3523845,KADAFY LOGISTICS CORP,NJ,PATERSON,2,"March 24, 2026",NJ,4
1575749,ZRB TRANSPORT LLC,WA,YAKIMA,5,"March 24, 2026",WA,2
3740752,IMAGING CONTRACTORS OF USA LLC,TX,HUFFMAN,2,"March 24, 2026",TX,8
3605308,THUNDER PASS LLC,AZ,MAYER,24,"March 24, 2026",AZ,2
4312063,WASHINGTON TRANSPORT LLC,AR,EL DORADO,2,"March 24, 2026",AR,2
1185622,DIRECT FITNESS SOLUTIONS LLC,IL,MUNDELEIN,8,"March 24, 2026",IL,1
431357,PATTERSON ORCHARDS AND FARM MARKET LLC,WI,NEW BERLIN,2,"March 24, 2026",WI,1
2643832,RAMOS XPRESS CORP,FL,HIALEAH,2,"March 24, 2026",FL,1
3229875,TUG IT TRUCKING LLC,IN,DECATUR,17,"March 24, 2026",IN,3
4522005,SPICA NORTHWEST HOLDINGS LLC,OR,BROOKINGS,15,"March 24, 2026",OR,1
1839908,WHEELER TRANSPORTATION INC,CA,ROSEVILLE,17,"March 24, 2026",CA,2
331796,PUTNAM TRUCKING OPERATIONS COMPANY INC,IL,EFFINGHAM,34,"March 24, 2026",IL,3
2636064,STINGRAY TRANSPORT LLC,NY,ROCHESTER,21,"March 24, 2026",NY,2
3412923,KANSAS CITY DRAYAGE LLC,MO,KANSAS CITY,38,"March 24, 2026",MO,2
329005,CIRCUIT ELECTRIC INC,MI,BYRON CENTER,12,"March 24, 2026",MI,1
1590621,A R D EXPRESS INC,MI,TAYLOR,42,"March 24, 2026",MI,2
2531880,ALL STAR LOGISTICS INC,IL,HANOVER PARK,5,"March 24, 2026",IL,2
2347640,UNITED EXCAVATING TRUCKING LLC,IN,MONTGOMERY,2,"March 24, 2026",IN,2
3241518,WHITE EAGLE CARRIER INC,IL,WOOD DALE,15,"March 24, 2026",IL,5
3249361,EB AND H ELECTRICAL LLC,WV,FOSTER,2,"March 24, 2026",WV,2
139710,JUSCZAK TRUCKING LLC,MN,FOREST LAKE,33,"March 24, 2026",MN,2
2351338,HAMBRO WSG,CA,CRESENT CITY,19,"March 24, 2026",CA,1
4133457,HARMAN ROADLINES INC,NV,LOVELOCK,4,"March 24, 2026",NV,3
3388199,BIG BOY TRANSPORT LLC,AZ,CHANDLER,3,"March 24, 2026",AZ,2
4095439,MOVEMINT LLC,MS,BRANDON,3,"March 24, 2026",MS,3
2546508,CHOICE TREE SERVICE LLC,MO,RAYMORE,5,"March 24, 2026",MO,5
4491097,RAFAEL BERTILIO MONGE SERRANO,NJ,TRENTON,4,"March 24, 2026",NJ,4
3257862,ANTHONY WHIPPO,NY,FREWSBURG,5,"March 24, 2026",NY,1
3121792,WALKER TRANSPORT LLC,UT,ROOSEVELT,3,"March 24, 2026",UT,1
3301545,W&R TRUCKING LLC,NJ,DOVER,2,"March 24, 2026",NJ,1
3263531,DAHALBROTHER TRUCKING LLC,PA,PITTSBURGH,2,"March 24, 2026",PA,1
4071233,STG LOGISTICS LLC,SC,WALLACE,3,"March 24, 2026",SC,3
3106561,ATLANTA PRODUCTIONS INC,GA,PEACHTREE CORNERS,10,"March 24, 2026",GA,1
4099938,JEFE LOGISTICS LLC,PA,HARRISBURG,2,"March 24, 2026",PA,1
4181165,KN TRANSPORTATION LLC,WA,SEATTLE,4,"March 24, 2026",WA,2
2906538,J-MAC EXPRESS LOGISTICS LLC,MI,LANSING,5,"March 24, 2026",MI,2
2532827,INSULATION SPECIALTIES CONTRACTORS INC,KS,LENEXA,5,"March 24, 2026",KS,2
3558396,HOLMES & COMPANY LLC,IN,COLUMBIA CITY,7,"March 24, 2026",IN,2
2053087,ADVANTAGE FLEET LLC,MI,COOPERSVILLE,12,"March 24, 2026",MI,2
4420221,HAN EXPRESS INC,PA,ALLENTOWN,42,"March 24, 2026",PA,8
1400834,JEREMY MCCARTER TREE TRIMMING,IN,WHEATLAND,2,"March 24, 2026",IN,5
488105,GROVE TRANSPORTATION SERVICES INC,KY,HEBRON,35,"March 24, 2026",KY,2
3565090,DRAZEN LOGISTICS INC,FL,CLEARWATER,5,"March 24, 2026",FL,3
2701352,DAVES TRUCK'N INC,CA,SACRAMENTO,9,"March 24, 2026",CA,1
1704006,MJK TRANSPORT INC,SC,CAMPOBELLO,6,"March 24, 2026",SC,1
818197,MIDSOUTH POWER SERVICES INCORPORATED,KY,PINEVILLE,29,"March 24, 2026",KY,2
4350132,GHART TRUCKING INC,CA,SHERMAN OAKS,2,"March 24, 2026",CA,2
439396,WULFF ENTERPRISES INC,OH,NORTH CANTON,9,"March 24, 2026",OH,2
4210301,8BALL HAULERS LLC,KY,MOREHEAD,4,"March 24, 2026",KY,3
3573036,TTHOMAS TRANSPORTATION LLC,GA,GAINESVILLE,7,"March 24, 2026",GA,3
3883389,VENTRUCK CARGO LOGISTICS CORP,TX,KATY,3,"March 24, 2026",TX,1
3124049,AARON CARRIERS INC,CA,CLOVIS,14,"March 24, 2026",CA,3
583235,DUCK EXPRESS INC,OR,HERMISTON,6,"March 24, 2026",OR,1
4514820,GOLLA GROUP LLC,WA,DAVENPORT,2,"March 24, 2026",WA,232
2920753,WESTERN HARVESTING TRANSPORT LLC,CA,KING CITY,10,"March 24, 2026",CA,2
3992035,AKINCI LOGISTICS LLC,OH,MIDDLETOWN,2,"March 24, 2026",OH,2
1781088,SKYMILE LOGISTICS INC,GA,DECATUR,50,"March 24, 2026",GA,6
459892,ARMSTRONG GREEN & EMBREY INC,VA,FAIRFAX,26,"March 24, 2026",VA,1
3920840,GRAB MY LANE LLC,TX,LUBBOCK,2,"March 24, 2026",TX,2
4046179,TECHMAR LLC,IA,BURLINGTON,5,"March 24, 2026",IA,1
2801304,LDT LOGISTIX LLC,FL,GIBSONTON,3,"March 24, 2026",FL,1
3716896,TRUCK RIDER LLC,OH,COLUMBUS,12,"March 24, 2026",OH,11
3768602,CHB EXPRESS LLC,NC,CHARLOTTE,11,"March 24, 2026",NC,1
4532532,HERITAGE DRONE SERVICE LLC,IN,KOUTS,2,"March 24, 2026",IN,1
2951980,OYUKY TRANSPORT LLC,GA,DALTON,4,"March 24, 2026",GA,1
65574,MASONS SUPPLY COMPANY,OR,PORTLAND,24,"March 24, 2026",OR,3
3091314,TIRE SOLUTIONS INC,NC,DURHAM,35,"March 24, 2026",NC,2
2326050,RIVER RUN LOGISTICS INC,GA,TRENTON,42,"March 24, 2026",GA,2
4394683,SKYVIEW DOORS INC,SD,SIOUX FALLS,5,"March 24, 2026",SD,2
3131831,UNITED JANITORIAL SERVICES LLC,MD,BETHESDA,2,"March 24, 2026",MD,1
850855,FALCON TRANSPORT INC,WI,KIEL,26,"March 24, 2026",WI,1
4150220,COASTLINE MOVING LLC,OR,HILSBORO,2,"March 24, 2026",OR,1
1021626,R & K TRUCKING OF MONTANA INC,MT,HELENA,26,"March 24, 2026",MT,1
4152578,CRAIGER CO LLC,OH,MANTUA,6,"March 24, 2026",OH,4
3214741,REU INTERMODAL INC,CA,BELL GARDENS,5,"March 24, 2026",CA,1
3281876,WHITE RHINO INC,CA,LYNWOOD,5,"March 24, 2026",CA,3
4286096,CCCT LOGISTICS LLC,SC,PIEDMONT,10,"March 24, 2026",SC,3
3674000,R&R TIRE REPAIR LLC,KS,OAKLEY,14,"March 24, 2026",KS,3
472601,ARM TRUCKING INC,NC,WAYNESVILLE,21,"March 24, 2026",NC,1
4318281,LP POWDER COATING INC,MI,HIGHLAND,10,"March 24, 2026",MI,7
3419503,MTS LIMITED LIABILITY CO,CA,EL CENTRO,14,"March 24, 2026",CA,1
88536,LOUIS J GRASMICK LUMBER CO INC,MD,BALTIMORE,8,"March 24, 2026",MD,2
4006869,OVERTIME PLUMBERS LLC,PA,WEST CHESTER,3,"March 24, 2026",PA,1
4246095,HUMSKA 1 INC,IL,WILLOWBROOK,5,"March 24, 2026",IL,1
3401558,CHALINILLO TRUCKING LLC,CA,MORENO VALLEY,3,"March 24, 2026",CA,2
351804,JOHN T JONES CONSTRUCTION CO,ND,FARGO,16,"March 24, 2026",ND,1
4269039,PLUS TRANSPORTATION LLC,KY,LOUISVILLE,2,"March 24, 2026",KY,1
2969118,GALAXY MOTOR CARRIER INC,MO,LEES SUMMIT,12,"March 24, 2026",MO,2
3410597,BLUE STATE LINE CORP,FL,BELLEVIEW,5,"March 24, 2026",FL,1
1753107,COMPLETE TRACK WORKS INC,ND,GRAND FORKS,33,"March 24, 2026",ND,1
3453889,UPS LANE,CA,ONTARIO,4,"March 24, 2026",CA,1
1579940,DDA,CA,SACRAMENTO,25,"March 24, 2026",CA,1
2462206,WORLD CLASS TRANSPORT LLC,OR,TROUTDALE,35,"March 24, 2026",OR,2
3896848,ANDA 99 EXPRESS INC,CA,MONTEREY PARK,6,"March 24, 2026",CA,4
1219387,VILLICANA TRANSPORTATION LLC,CA,SALINAS,16,"March 24, 2026",CA,1
1932087,SALINAS TRANSPORTATION LLC,AZ,YUMA,2,"March 24, 2026",AZ,1
3850810,EASTERN AG LOGISTICS LLC,NC,DUNN,5,"March 24, 2026",NC,1
855179,MARK MATTHEWS TRUCKING,SC,LANE,4,"March 24, 2026",SC,2
4200881,DIRECT BUSINESS HOLDINGS INC,IN,MERRILLVILLE,4,"March 24, 2026",IN,13
4284133,URBANELITE CO,PA,DUNCANSVILLE,7,"March 24, 2026",PA,2
